code,label,fullname
1,no2,"NO₂ - dušikov dioksid (µg/m3)"
2,so2,"SO₂ - sumporov dioksid (µg/m3)"
3,co,"CO - ugljikov monoksid (mg/m3)"
4,h2s,"H₂S - sumporovodik (µg/m3)"
5,pm10,"PM₁₀ - lebdeće čestice (<10µm) (µg/m3)"
28,pm2.5,"PM₂.₅ - lebdeće čestice (<2.5µm) (µg/m3)"
29,pmtot,"lebdeće čestice (ukupne) (µg/m3)"
30,pbpm10,"Pb u PM₁₀ - olovo u PM10 (µg/m3)"
31,o3,"O₃ - ozon (µg/m3)"
32,c6h6,"benzen (µg/m3)"
33,cdpm10,"Cd u PM₁₀ - kadmij u PM10 (ng/m3)"
34,aspm10,"As u PM₁₀ - arsen u PM10 (ng/m3)"
35,nipm10,"Ni u PM₁₀ - nikal u PM10 (ng/m3)"
37,smk,"dim  (µg/m3)"
38,nox,"NOₓ izraženi kao NO₂ - dušikovi oksidi (µg/m3)"
39,etan,"etan (µg/m3)"
40,eten,"eten (etilen) (µg/m3)"
41,etin,"etin (acetilen) (µg/m3)"
42,propan,"propan (µg/m3)"
43,propen,"propen (µg/m3)"
44,nbut,"n-butan (µg/m3)"
45,isobut,"izo-butan (µg/m3)"
46,lbuten,"l-buten (µg/m3)"
47,,"trans-2-buten (µg/m3)"
48,,"cis-2-buten (µg/m3)"
49,,"butadien 1,3 (µg/m3)"
50,,"n-pentan (µg/m3)"
51,,"izo-pentan (µg/m3)"
52,,"1-penten (µg/m3)"
53,,"2-penten (µg/m3)"
54,,"izopren (µg/m3)"
55,,"n-heksan (µg/m3)"
56,,"i-heksan (µg/m3)"
57,,"n-heptan (µg/m3)"
58,,"n-oktan (µg/m3)"
59,,"izo-oktan (µg/m3)"
60,,"toluen (µg/m3)"
61,,"etil benzen (µg/m3)"
62,,"m,p-ksilen (µg/m3)"
63,,"o-ksilen (µg/m3)"
64,,"1,2,4 trimetilbenzen (µg/m3)"
65,,"1,2,3-trimetil benzen (µg/m3)"
66,,"1,3,5-trimetil benzen (µg/m3)"
67,,"formaldehid (µg/m3)"
68,,"ukupnine-metanski ugljikovodici izraženi kao ukupni C (µg/m3)"
69,,"jaka kiselost alternativa SO2 (µg/m3)"
70,,"lebdeće čestice (<1µm) (µg/m3)"
71,,"metan (µg/m3)"
72,,"krom (ng/m3)"
73,,"mangan (ng/m3)"
74,,"ugljik disulfid (µg/m3)"
75,,"stiren (µg/m3)"
76,,"akrilonitril (µg/m3)"
77,,"trikloretilen (µg/m3)"
78,,"tetrakloretilen (µg/m3)"
79,,"dikloromethan (µg/m3)"
80,,"BaP u PM₁₀ - Benzo(a)piren u PM10 (ng/m3)"
81,,"vinil klorid (µg/m3)"
82,,"peroksiacetil nitrat (µg/m3)"
84,,"vlažno taloženje dušika izraženo kao N (mg/(m2 mjesec))"
85,,"vlažno taloženje sumpora izraženo kao S (mg/(m2 mjesec))"
87,,"ugljik-dioksid (µg/m3)"
88,,"btx (µg/m3)"
90,,"ukupna taložna tvar (µg/m2d)"
95,nh3,"NH₃ - amonijak (µg/m3)"
96,,"Lead in PM2.5 (aerosol) (µg/m3)"
97,,"Mercury in PM2.5 (aerosol) (ng/m3)"
98,,"Cadmium in PM2.5 (aerosol) (ng/m3)"
99,,"Nickel in PM2.5 (aerosol) (ng/m3)"
100,,"Cr u PM₂.₅ - krom u PM2.5 (ng/m3)"
101,,"Mn u PM₂.₅ - mangan u PM2.5 (ng/m3)"
102,,"Arsenic in PM2.5 (aerosol) (µg/m3)"
103,,"Benzo(a)pyrene in PM2.5 (aerosol) (ng/m3)"
104,,"Amonij u PM₂.₅ (µg/m3)"
105,,"Nitrati u PM2.5 (µg/m3)"
106,,"Sulfati  u PM2.5 (µg/m3)"
107,,"Selenium in PM2.5 (aerosol) (ng/m3)"
108,,"V u PM₂.₅  - vanadij  u PM2.5 (ng/m3)"
109,,"Zn u PM₂.₅ - cink u PM2.5 (ng/m3)"
110,,"Co u PM₂.₅ - kobalt u PM2.5 (ng/m3)"
111,,"Iron in PM2.5 (aerosol) (ng/m3)"
112,,"Cu u PM₂.₅ - bakar u PM2.5 (ng/m3)"
113,,"Benzo(a)pyrene in PM2.5 (air+aerosol) (ng/m3)"
114,,"Pb - Lead (aerosol) (µg/m3)"
115,,"Mercury (aerosol) (ng/m3)"
116,,"Dibenzo(ah)anthracene in PM2.5 (aerosol) (ng/m3)"
117,,"Benzo(a)anthracene in PM2.5 (aerosol) (ng/m3)"
118,,"Benzo(b)fluoranthene in PM2.5 (air+aerosol) (ng/m3)"
