code,label
14,Zajci
20,Čambarelići
37,Zoljan
38,Vrhovec
39,"Pula Fižela"
40,Koromačno
41,"Ksaverska cesta"
46,Gripe
47,Visoka
48,Poljud
49,Žrnovnica
101,"Đorđićeva ulica (Stanica za hitnu pomoć)"
102,Pešćenica
103,"Prilaz baruna Filipovića"
118,"Susedgrad (Tvornica ""Utenzilija"")"
119,"Siget (Dom zdravlja)"
121,"Velika Gorica"
127,"Umag, Ulica Eduardo Pascali"
128,"Umag sediment"
133,"Sisak 3"
137,"Banija 18"
140,"Domobranska ulica 2"
141,"Dr.V.Mačeka 48"
151,"Sisak 2 Galdovo"
152,"Riva 4"
153,"Ulica Kamenjak (Dječji vrtić)"
155,ZAGREB-1
156,ZAGREB-2
157,ZAGREB-3
158,RIJEKA-1
159,RIJEKA-2
160,OSIJEK-1
161,KUTINA-1
162,SISAK-1
165,"SLAVONSKI BROD-1"
168,Split-1
173,"AMS1 Kaštel Sućurac"
179,"AMS2 Sveti Kajo"
180,Ripenda
189,"Sv. Katarina"
190,Plomin
191,Klavar
215,"Kostrena - Martinšćica"
221,Urinj
224,Paveki
232,"Viškovo - Marišćina"
235,"Viškovo - Viševac"
241,"Opatija - Gorovo"
243,Krasica
245,"Krešimirova ul."
246,"Vrh Martinšćice"
254,"SLAVONSKI BROD - privremena pokretna postaja"
255,"KOPAČKI RIT"
256,DESINIĆ
257,"PLITVIČKA JEZERA"
258,PARG
259,VIŠNJAN
260,"VELA STRAŽA (Dugi otok)"
261,"POLAČA (Ravni kotari)"
262,"HUM (otok Vis)"
263,"OPUZEN (Delta Neretve)"
264,"ŽARKOVICA (Dubrovnik)"
265,Bijenik
267,"ZAGREB PPI PM2,5 - Ksaverska cesta"
273,"Vatrogasni dom (K2) - Kutina"
274,Jakuševec
275,"SLAVONSKI BROD-2"
276,Mlaka
277,VARAŽDIN-1
278,KARLOVAC-1
279,Pleso
280,"Mirogojska cesta"
